lottery_type,draw_no,prediction_id,model_name,predicted_numbers,actual_numbers,matched_numbers,missed_numbers,should_have_included_numbers,should_have_excluded_numbers,matched_count,needed_conditions,next_hypothesis,created_at
loto6,2113,2113-20260620-1,出現頻度分析,02-06-21-37-38-42,02-05-32-36-38-42,02-38-42,06-21-37,05-32-36,06-21-37,3,出現頻度分析: 追加候補 05-32-36 を上位に残す / 除外候補 06-21-37 の重みを抑える / 奇数を1枠減らす条件 / 低数字を1枠減らす条件 / 高数字を1枠増やす条件 / 連番を1枠減らす条件,出現頻度分析では、05-32-36を候補に残す条件と、06-21-37の過採用抑制を次回検証する,2026/06/27 09:51:46
loto6,2113,2113-20260620-1,コールドナンバー分析,13-14-16-20-22-23,02-05-32-36-38-42,,13-14-16-20-22-23,02-05-32-36-38-42,13-14-16-20-22-23,0,コールドナンバー分析: 追加候補 02-05-32-36-38-42 を上位に残す / 除外候補 13-14-16-20-22-23 の重みを抑える / 奇数を1枠減らす条件 / 低数字を2枠減らす条件 / 高数字を2枠増やす条件 / 連番を2枠減らす条件 / 合計値を47程度上げる条件,コールドナンバー分析では、02-05-32-36-38-42を候補に残す条件と、13-14-16-20-22-23の過採用抑制を次回検証する,2026/06/27 09:51:46
loto6,2113,2113-20260620-1,ホットナンバー分析,08-18-27-28-36-43,02-05-32-36-38-42,36,08-18-27-28-43,02-05-32-38-42,08-18-27-28-43,1,ホットナンバー分析: 追加候補 02-05-32-38-42 を上位に残す / 除外候補 08-18-27-28-43 の重みを抑える / 奇数を1枠減らす条件 / 連番を1枠減らす条件,ホットナンバー分析では、02-05-32-38-42を候補に残す条件と、08-18-27-28-43の過採用抑制を次回検証する,2026/06/27 09:51:46
loto6,2113,2113-20260620-1,奇数偶数分析,02-06-24-26-38-42,02-05-32-36-38-42,02-38-42,06-24-26,05-32-36,06-24-26,3,奇数偶数分析: 追加候補 05-32-36 を上位に残す / 除外候補 06-24-26 の重みを抑える / 奇数を1枠増やす条件 / 同じ下一桁を1枠減らす条件 / 合計値を17程度上げる条件,奇数偶数分析では、05-32-36を候補に残す条件と、06-24-26の過採用抑制を次回検証する,2026/06/27 09:51:46
loto6,2113,2113-20260620-1,合計値分析,19-21-22-23-24-26,02-05-32-36-38-42,,19-21-22-23-24-26,02-05-32-36-38-42,19-21-22-23-24-26,0,合計値分析: 追加候補 02-05-32-36-38-42 を上位に残す / 除外候補 19-21-22-23-24-26 の重みを抑える / 奇数を2枠減らす条件 / 連番を3枠減らす条件 / 同じ下一桁を1枠増やす条件 / 合計値を20程度上げる条件,合計値分析では、02-05-32-36-38-42を候補に残す条件と、19-21-22-23-24-26の過採用抑制を次回検証する,2026/06/27 09:51:46
loto6,2113,2113-20260620-1,高低分析,01-05-08-18-27-28,02-05-32-36-38-42,05,01-08-18-27-28,02-32-36-38-42,01-08-18-27-28,1,高低分析: 追加候補 02-32-36-38-42 を上位に残す / 除外候補 01-08-18-27-28 の重みを抑える / 奇数を2枠減らす条件 / 低数字を2枠減らす条件 / 高数字を2枠増やす条件 / 連番を1枠減らす条件 / 合計値を68程度上げる条件,高低分析では、02-32-36-38-42を候補に残す条件と、01-08-18-27-28の過採用抑制を次回検証する,2026/06/27 09:51:46
loto6,2113,2113-20260620-1,連番分析,18-20-25-28-36-43,02-05-32-36-38-42,36,18-20-25-28-43,02-05-32-38-42,18-20-25-28-43,1,連番分析: 追加候補 02-05-32-38-42 を上位に残す / 除外候補 18-20-25-28-43 の重みを抑える / 奇数を1枠減らす条件 / 合計値を15程度下げる条件,連番分析では、02-05-32-38-42を候補に残す条件と、18-20-25-28-43の過採用抑制を次回検証する,2026/06/27 09:51:46
loto6,2113,2113-20260620-1,下一桁分析,06-08-18-26-28-38,02-05-32-36-38-42,38,06-08-18-26-28,02-05-32-36-42,06-08-18-26-28,1,下一桁分析: 追加候補 02-05-32-36-42 を上位に残す / 除外候補 06-08-18-26-28 の重みを抑える / 奇数を1枠増やす条件 / 低数字を1枠減らす条件 / 高数字を1枠増やす条件 / 同じ下一桁を1枠減らす条件 / 合計値を31程度上げる条件,下一桁分析では、02-05-32-36-42を候補に残す条件と、06-08-18-26-28の過採用抑制を次回検証する,2026/06/27 09:51:46
loto6,2113,2113-20260620-1,ペア分析,06-18-24-30-36-37,02-05-32-36-38-42,36,06-18-24-30-37,02-05-32-38-42,06-18-24-30-37,1,ペア分析: 追加候補 02-05-32-38-42 を上位に残す / 除外候補 06-18-24-30-37 の重みを抑える / 連番を1枠減らす条件,ペア分析では、02-05-32-38-42を候補に残す条件と、06-18-24-30-37の過採用抑制を次回検証する,2026/06/27 09:51:46
loto6,2113,2113-20260620-1,トリプル分析,06-18-24-36-37-42,02-05-32-36-38-42,36-42,06-18-24-37,02-05-32-38,06-18-24-37,2,トリプル分析: 追加候補 02-05-32-38 を上位に残す / 除外候補 06-18-24-37 の重みを抑える / 連番を1枠減らす条件,トリプル分析では、02-05-32-38を候補に残す条件と、06-18-24-37の過採用抑制を次回検証する,2026/06/27 09:51:46
loto6,2113,2113-20260620-1,ボーナス数字分析,04-06-26-27-28-34,02-05-32-36-38-42,,04-06-26-27-28-34,02-05-32-36-38-42,04-06-26-27-28-34,0,ボーナス数字分析: 追加候補 02-05-32-36-38-42 を上位に残す / 除外候補 04-06-26-27-28-34 の重みを抑える / 連番を2枠減らす条件 / 同じ下一桁を1枠減らす条件 / 合計値を30程度上げる条件,ボーナス数字分析では、02-05-32-36-38-42を候補に残す条件と、04-06-26-27-28-34の過採用抑制を次回検証する,2026/06/27 09:51:46
