lottery_type,created_at,model_key,model_name,evaluation_count,average_match,recent5_score,recent10_score,long_score,stability,expected_value,bonus_match_rate,raw_score,applied_weight,status
loto6,2026/07/11 22:37:24,frequency_analysis,出現頻度分析,0,,,,,,0.278,,30.0,1.196,検証待ち
loto6,2026/07/11 22:37:24,cold_analysis,コールドナンバー分析,0,,,,,,0.278,,30.0,1.196,検証待ち
loto6,2026/07/11 22:37:24,hot_analysis,ホットナンバー分析,0,,,,,,0.019,,2.0,0.65,検証待ち
loto6,2026/07/11 22:37:24,odd_even_analysis,奇数偶数分析,0,,,,,,0.148,,16.0,0.923,検証待ち
loto6,2026/07/11 22:37:24,sum_value_analysis,合計値分析,0,,,,,,0.093,,10.0,0.806,検証待ち
loto6,2026/07/11 22:37:24,high_low_analysis,高低分析,0,,,,,,0.093,,10.0,0.806,検証待ち
loto6,2026/07/11 22:37:24,consecutive_analysis,連番分析,0,,,,,,0.093,,10.0,0.806,検証待ち
loto6,2026/07/11 22:37:24,last_digit_analysis,下一桁分析,0,,,,,,0.13,,14.0,0.884,検証待ち
loto6,2026/07/11 22:37:24,pair_analysis,ペア分析,0,,,,,,0.074,,8.0,0.767,検証待ち
loto6,2026/07/11 22:37:24,triple_analysis,トリプル分析,0,,,,,,0.167,,18.0,0.962,検証待ち
loto6,2026/07/11 22:37:24,bonus_analysis,ボーナス数字分析,0,,,,,,0.185,,20.0,1.001,検証待ち
loto6,2026/07/11 22:37:24,markov_chain,マルコフ連鎖,6,0.5,0.6,0.5,0.5,90.9,0.083,0.0,50.72,1.6,強める
loto6,2026/07/11 22:37:24,bayesian_estimation,ベイズ推定,6,0.333,0.4,0.333,0.333,91.4,0.076,50.0,37.381,1.34,強める
loto6,2026/07/11 22:37:24,monte_carlo,モンテカルロシミュレーション,0,,,,,,0.204,,22.0,1.04,検証待ち
loto6,2026/07/11 22:37:24,machine_learning,機械学習モデル,3,0.333,0.333,0.333,0.333,90.4,0.056,0.0,34.704,1.288,強める
loto6,2026/07/11 22:37:24,random_baseline,ランダム予測モデル,0,,,,,,0.148,,16.0,0.923,検証待ち
loto6,2026/07/11 22:37:24,anti_popular_expected_value,人と被りにくい期待値最大化モデル,0,,,,,,0.0,,0.0,0.85,検証待ち
loto6,2026/07/11 22:37:24,balance_hypothesis_engine,バランス仮説エンジン,0,,,,,,0.167,,18.0,0.962,検証待ち
loto6,2026/07/11 22:37:24,chamini_sp_god_mode,ChaminiSP God Mode,0,,,,,,0.0,,0.0,0.85,検証待ち
