順位,数字,スコア,出現回数,直近30回スコア,未出現回数,ボーナス出現回数,根拠,更新日時
1,22,71.781,134,100.0,1,22,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
2,35,65.815,137,24.716,0,32,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
3,15,63.018,151,32.386,3,40,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
4,34,60.868,141,11.08,3,41,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
5,36,57.727,134,8.807,1,33,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
6,30,56.512,140,0.0,25,42,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
7,13,53.954,145,40.625,0,36,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
8,29,49.046,135,8.807,13,36,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
9,33,47.992,115,45.455,0,44,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
10,31,47.957,133,25.284,1,34,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
11,16,47.555,114,54.545,6,26,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
12,23,47.492,125,1.989,15,41,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
13,14,47.127,129,19.034,13,45,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
14,24,46.089,122,48.58,2,43,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
15,17,45.709,134,31.818,4,25,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
16,32,45.007,133,1.42,8,31,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
17,37,44.528,113,8.807,11,40,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
18,21,43.04,129,9.375,11,32,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
19,9,42.908,150,66.193,1,44,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
20,12,41.555,120,61.364,0,37,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
21,28,38.099,126,9.659,6,33,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
22,18,36.594,130,36.648,2,35,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
23,6,35.909,129,98.864,2,40,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
24,11,35.452,129,12.784,9,39,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
25,26,35.441,137,29.83,1,42,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
26,27,29.548,130,20.739,1,37,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
27,10,29.537,130,39.205,0,37,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
28,20,25.618,118,5.682,5,43,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
29,19,25.539,121,30.114,0,41,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
30,8,24.91,133,46.591,2,36,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
31,7,24.379,132,43.75,4,28,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
32,25,24.137,108,6.534,15,43,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
33,4,23.556,136,22.443,11,37,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
34,1,15.145,127,22.727,0,44,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
35,3,11.617,118,11.932,11,33,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
36,5,8.98,115,17.33,4,38,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
37,2,8.327,114,18.182,3,32,機械学習モデルを使った第682回向け候補スコア,2026/06/28 23:00:26
