予想ID,開催回,検証日,使用モデル,予想番号,実際の当選番号,ボーナス数字,本数字一致数,的中率,ボーナス一致,勝率,期待値,等級判定,近接一致数,合計値差,奇数偶数差,高低差,外れた数字の差分,奇数偶数バランスのズレ,高低バランスのズレ,合計値のズレ,連番の有無,下一桁の偏り,ペア一致,的中要因,有効条件,足りなかった条件,過剰だった条件,モデル貢献度詳細,前回数字との重複数,31超え数字の有無,3連続除外チェック,改善メモ,失敗要因,逆算分析,改善案,次回の仮説,総一致数,balance_score,balance_grade,balance_result_class,balance_reasons,balance_warnings,balance_details_json,balance_not_evaluated,balance_weights_version
2113-20260620-1,2113,2026/06/25,機械学習モデル,06-08-18-24-37-43,02-05-32-36-38-42,14,0,0.0,なし,0.0,0.0,該当なし,3,19,-1,-1,06->05(-1) / 08->05(-3) / 18->05(-13) / 24->32(+8) / 37->36(-1) / 43->42(-1),予想 2:4 / 実際 1:5,予想 低3:高3 / 実際 低2:高4,19,予想0組 / 実際0組,予想: 8が2個 / 実際: 2が3個,0,一致数字なし。的中要因は次回検証対象として保留。,有効条件なし,32以上+2 / 合計値+19,奇数-1,06:外れ:出現頻度分析・ホットナンバー分析・奇数偶数分析・高低分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル・機械学習モデル・出現頻度分析・コールドナンバー分析・機械学習モデル・ホットナンバー分析・ホットナンバー分析・ボーナス数字分析・機械学習モデル / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・機械学習モデル・コールドナンバー分析・機械学習モデル・ホットナンバー分析・ホットナンバー分析・ホットナンバー分析・ボーナス数字分析・機械学習モデル / 18:外れ:ホットナンバー分析・奇数偶数分析・合計値分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・機械学習モデル・コールドナンバー分析・機械学習モデル・ホットナンバー分析・ホットナンバー分析・機械学習モデル / 24:外れ:出現頻度分析・コールドナンバー分析・奇数偶数分析・合計値分析・ペア分析・トリプル分析・マルコフ連鎖・機械学習モデル・機械学習モデル・出現頻度分析・コールドナンバー分析・機械学習モデル・ホットナンバー分析・コールドナンバー分析・機械学習モデル / 37:外れ:出現頻度分析・下一桁分析・ペア分析・トリプル分析・マルコフ連鎖・モンテカルロシミュレーション・機械学習モデル・機械学習モデル・人と被りにくい高額当選狙いモデル・出現頻度分析・機械学習モデル・ホットナンバー分析・機械学習モデル / 43:外れ:ホットナンバー分析・連番分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル・機械学習モデル・人と被りにくい高額当選狙いモデル・コールドナンバー分析・機械学習モデル・ホットナンバー分析・ホットナンバー分析・ホットナンバー分析・ボーナス数字分析・機械学習モデル,,,,,中心候補と実際の当選数字の重なりが少ない,残す候補: なし / 入れ替え候補: 06-08-18-24-37-43 / 近づける追加候補: 02-05-32-36-38-42,合計値の目標帯を19程度上げる検証する / 奇数偶数を偶数寄りに1枠調整する仮説を試す / 高低バランスを高数字寄りに寄せる,一致数字(なし)の周辺±2を候補群として観察し、合計155前後・奇数1個・低数字2個を次回比較軸にする,,,,,,,,,
2113-20260620-2,2113,2026/06/25,機械学習モデル,06-08-17-27-30-43,02-05-32-36-38-42,14,0,0.0,なし,0.0,0.0,該当なし,3,24,-2,-1,06->05(-1) / 08->05(-3) / 17->05(-12) / 27->32(+5) / 30->32(+2) / 43->42(-1),予想 3:3 / 実際 1:5,予想 低3:高3 / 実際 低2:高4,24,予想0組 / 実際0組,予想: 7が2個 / 実際: 2が3個,0,一致数字なし。的中要因は次回検証対象として保留。,有効条件なし,32以上+3 / 合計値+24,奇数-2,06:外れ:出現頻度分析・ホットナンバー分析・奇数偶数分析・高低分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル・機械学習モデル・出現頻度分析・コールドナンバー分析・機械学習モデル・ホットナンバー分析・ホットナンバー分析・ボーナス数字分析・機械学習モデル / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・機械学習モデル・コールドナンバー分析・機械学習モデル・ホットナンバー分析・ホットナンバー分析・ホットナンバー分析・ボーナス数字分析・機械学習モデル / 17:外れ:高低分析・下一桁分析・ホットナンバー分析・機械学習モデル / 27:外れ:出現頻度分析・ホットナンバー分析・合計値分析・高低分析・連番分析・下一桁分析・ペア分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・機械学習モデル・機械学習モデル・ホットナンバー分析・ホットナンバー分析・ボーナス数字分析・機械学習モデル / 30:外れ:高低分析・ペア分析・トリプル分析・ボーナス数字分析・機械学習モデル・機械学習モデル・ホットナンバー分析・ホットナンバー分析・ボーナス数字分析・機械学習モデル / 43:外れ:ホットナンバー分析・連番分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル・機械学習モデル・人と被りにくい高額当選狙いモデル・コールドナンバー分析・機械学習モデル・ホットナンバー分析・ホットナンバー分析・ホットナンバー分析・ボーナス数字分析・機械学習モデル,,,,,中心候補と実際の当選数字の重なりが少ない / 合計値のレンジが実際と離れた / 奇数偶数バランスが実際とずれた,残す候補: なし / 入れ替え候補: 06-08-17-27-30-43 / 近づける追加候補: 02-05-32-36-38-42,合計値の目標帯を24程度上げる検証する / 奇数偶数を偶数寄りに1枠調整する仮説を試す / 高低バランスを高数字寄りに寄せる,一致数字(なし)の周辺±2を候補群として観察し、合計155前後・奇数1個・低数字2個を次回比較軸にする,,,,,,,,,
2113-20260620-3,2113,2026/06/25,機械学習モデル,03-06-21-24-37-42,02-05-32-36-38-42,14,1,16.7,なし,0.0,0.167,該当なし,3,22,-2,-1,03->02(-1) / 06->05(-1) / 21->32(+11) / 24->32(+8) / 37->36(-1),予想 3:3 / 実際 1:5,予想 低3:高3 / 実際 低2:高4,22,予想0組 / 実際0組,予想: 大きな偏りなし / 実際: 2が3個,0,42 -> 出現頻度分析由来,出現頻度分析 / コールドナンバー分析 / 奇数偶数分析 / トリプル分析 / 機械学習モデル,32以上+2 / 同末尾+1 / 合計値+22,奇数-2,03:外れ:高低分析・連番分析・ホットナンバー分析・ホットナンバー分析・機械学習モデル / 06:外れ:出現頻度分析・ホットナンバー分析・奇数偶数分析・高低分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル・機械学習モデル・出現頻度分析・コールドナンバー分析・機械学習モデル・ホットナンバー分析・ホットナンバー分析・ボーナス数字分析・機械学習モデル / 21:外れ:出現頻度分析・ホットナンバー分析・コールドナンバー分析・合計値分析・高低分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・機械学習モデル・出現頻度分析・コールドナンバー分析・機械学習モデル・ホットナンバー分析・機械学習モデル / 24:外れ:出現頻度分析・コールドナンバー分析・奇数偶数分析・合計値分析・ペア分析・トリプル分析・マルコフ連鎖・機械学習モデル・機械学習モデル・出現頻度分析・コールドナンバー分析・機械学習モデル・ホットナンバー分析・コールドナンバー分析・機械学習モデル / 37:外れ:出現頻度分析・下一桁分析・ペア分析・トリプル分析・マルコフ連鎖・モンテカルロシミュレーション・機械学習モデル・機械学習モデル・人と被りにくい高額当選狙いモデル・出現頻度分析・機械学習モデル・ホットナンバー分析・機械学習モデル / 42:的中:出現頻度分析・コールドナンバー分析・奇数偶数分析・トリプル分析・機械学習モデル・ランダム予測モデル・機械学習モデル・人と被りにくい高額当選狙いモデル・出現頻度分析・コールドナンバー分析・機械学習モデル・コールドナンバー分析・機械学習モデル,,,,,中心候補と実際の当選数字の重なりが少ない / 合計値のレンジが実際と離れた / 奇数偶数バランスが実際とずれた,残す候補: 42 / 入れ替え候補: 03-06-21-24-37 / 近づける追加候補: 02-05-32-36-38,合計値の目標帯を22程度上げる検証する / 奇数偶数を偶数寄りに1枠調整する仮説を試す / 高低バランスを高数字寄りに寄せる,一致数字(42)の周辺±2を候補群として観察し、合計155前後・奇数1個・低数字2個を次回比較軸にする,,,,,,,,,
2114-20260629-bayesian_estimation-1,2114,2026/06/29,ベイズ推定,06-08-18-27-36-43,02-16-20-21-23-33,43,0,0.0,あり,0.0,0.083,該当なし,1,-23,1,1,06->02(-4) / 08->02(-6) / 18->16(-2) / 27->23(-4) / 36->33(-3) / 43->33(-10),予想 2:4 / 実際 3:3,予想 低3:高3 / 実際 低4:高2,-23,予想0組 / 実際1組,予想: 6が2個 / 8が2個 / 実際: 3が2個,0,一致数字なし。的中要因は次回検証対象として保留。,有効条件なし,奇数+1 / 連番+1,32以上-1 / 同末尾-1 / 合計値-23,06:外れ:出現頻度分析・奇数偶数分析・高低分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 18:外れ:ホットナンバー分析・奇数偶数分析・合計値分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・機械学習モデル / 27:外れ:出現頻度分析・ホットナンバー分析・合計値分析・高低分析・連番分析・下一桁分析・ペア分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 36:外れ:ホットナンバー分析・奇数偶数分析・連番分析・下一桁分析・ペア分析・トリプル分析・マルコフ連鎖・ベイズ推定・機械学習モデル・ランダム予測モデル / 43:外れ:ホットナンバー分析・連番分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル,,,,,中心候補と実際の当選数字の重なりが少ない / 合計値のレンジが実際と離れた / 連番パターンを合わせきれなかった,残す候補: なし / 入れ替え候補: 06-08-18-27-36-43 / 近づける追加候補: 02-16-20-21-23-33,合計値の目標帯を23程度下げる検証する / 奇数偶数を奇数寄りに1枠調整する仮説を試す / 高低バランスを低数字寄りに寄せる / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(なし)の周辺±2を候補群として観察し、合計115前後・奇数3個・低数字4個を次回比較軸にする,,,,,,,,,
2114-20260629-bayesian_estimation-2,2114,2026/06/29,ベイズ推定,06-08-21-28-37-43,02-16-20-21-23-33,43,1,16.7,あり,0.0,0.25,該当なし,0,-28,0,1,06->02(-4) / 08->02(-6) / 28->23(-5) / 37->33(-4) / 43->33(-10),予想 3:3 / 実際 3:3,予想 低3:高3 / 実際 低4:高2,-28,予想0組 / 実際1組,予想: 8が2個 / 実際: 3が2個,0,21 -> 出現頻度分析由来,出現頻度分析 / コールドナンバー分析 / ホットナンバー分析 / 合計値分析 / 高低分析,連番+1,32以上-1 / 合計値-28,06:外れ:出現頻度分析・奇数偶数分析・高低分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 21:的中:出現頻度分析・コールドナンバー分析・ホットナンバー分析・合計値分析・高低分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 28:外れ:ホットナンバー分析・奇数偶数分析・合計値分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・機械学習モデル・ランダム予測モデル / 37:外れ:出現頻度分析・下一桁分析・ペア分析・トリプル分析・機械学習モデル・ベイズ推定 / 43:外れ:ホットナンバー分析・連番分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル,,,,,中心候補と実際の当選数字の重なりが少ない / 合計値のレンジが実際と離れた / 連番パターンを合わせきれなかった,残す候補: 21 / 入れ替え候補: 06-08-28-37-43 / 近づける追加候補: 02-16-20-23-33,合計値の目標帯を28程度下げる検証する / 高低バランスを低数字寄りに寄せる / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(21)の周辺±2を候補群として観察し、合計115前後・奇数3個・低数字4個を次回比較軸にする,,,,,,,,,
2114-20260629-bayesian_estimation-3,2114,2026/06/29,ベイズ推定,05-06-08-24-38-43,02-16-20-21-23-33,43,0,0.0,あり,0.0,0.083,該当なし,1,-9,1,1,05->02(-3) / 06->02(-4) / 08->02(-6) / 24->23(-1) / 38->33(-5) / 43->33(-10),予想 2:4 / 実際 3:3,予想 低3:高3 / 実際 低4:高2,-9,予想1組 / 実際1組,予想: 8が2個 / 実際: 3が2個,0,一致数字なし。的中要因は次回検証対象として保留。,有効条件なし,奇数+1,32以上-1,05:外れ:ホットナンバー分析・高低分析・連番分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション / 06:外れ:出現頻度分析・奇数偶数分析・高低分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 24:外れ:出現頻度分析・コールドナンバー分析・奇数偶数分析・合計値分析・ペア分析・トリプル分析・マルコフ連鎖・モンテカルロシミュレーション・機械学習モデル・ベイズ推定 / 38:外れ:出現頻度分析・ホットナンバー分析・奇数偶数分析・連番分析・下一桁分析・ペア分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 43:外れ:ホットナンバー分析・連番分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル,,,,,中心候補と実際の当選数字の重なりが少ない,残す候補: なし / 入れ替え候補: 05-06-08-24-38-43 / 近づける追加候補: 02-16-20-21-23-33,奇数偶数を奇数寄りに1枠調整する仮説を試す / 高低バランスを低数字寄りに寄せる,一致数字(なし)の周辺±2を候補群として観察し、合計115前後・奇数3個・低数字4個を次回比較軸にする,,,,,,,,,
2115-20260629-bayesian_estimation-1,2115,2026/06/29,ベイズ推定,05-08-18-21-36-43,01-03-11-34-35-42,23,0,0.0,なし,0.0,0.0,該当なし,3,-5,1,-1,05->03(-2) / 08->11(+3) / 18->11(-7) / 21->11(-10) / 36->35(-1) / 43->42(-1),予想 3:3 / 実際 4:2,予想 低4:高2 / 実際 低3:高3,-5,予想0組 / 実際1組,予想: 8が2個 / 実際: 1が2個,0,一致数字なし。的中要因は次回検証対象として保留。,有効条件なし,32以上+1 / 奇数+1 / 連番+1,大きな過剰条件なし,05:外れ:ホットナンバー分析・連番分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・ランダム予測モデル / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・機械学習モデル・ランダム予測モデル / 18:外れ:ホットナンバー分析・奇数偶数分析・合計値分析・連番分析・下一桁分析・ペア分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 21:外れ:出現頻度分析・ホットナンバー分析・合計値分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 36:外れ:ホットナンバー分析・奇数偶数分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・機械学習モデル / 43:外れ:ホットナンバー分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル,,,,,中心候補と実際の当選数字の重なりが少ない / 連番パターンを合わせきれなかった,残す候補: なし / 入れ替え候補: 05-08-18-21-36-43 / 近づける追加候補: 01-03-11-34-35-42,奇数偶数を奇数寄りに1枠調整する仮説を試す / 高低バランスを高数字寄りに寄せる / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(なし)の周辺±2を候補群として観察し、合計126前後・奇数4個・低数字3個を次回比較軸にする,,,,,,,,,
2115-20260629-bayesian_estimation-2,2115,2026/06/29,ベイズ推定,02-05-08-28-38-43,01-03-11-34-35-42,23,0,0.0,なし,0.0,0.0,該当なし,3,2,2,0,02->01(-1) / 05->03(-2) / 08->11(+3) / 28->34(+6) / 38->35(-3) / 43->42(-1),予想 2:4 / 実際 4:2,予想 低3:高3 / 実際 低3:高3,2,予想0組 / 実際1組,予想: 8が3個 / 実際: 1が2個,0,一致数字なし。的中要因は次回検証対象として保留。,有効条件なし,32以上+1 / 奇数+2 / 連番+1,大きな過剰条件なし,02:外れ:出現頻度分析・ホットナンバー分析・奇数偶数分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル / 05:外れ:ホットナンバー分析・連番分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・ランダム予測モデル / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・機械学習モデル・ランダム予測モデル / 28:外れ:ホットナンバー分析・奇数偶数分析・合計値分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・機械学習モデル / 38:外れ:出現頻度分析・ホットナンバー分析・奇数偶数分析・高低分析・連番分析・下一桁分析・ペア分析・ベイズ推定・モンテカルロシミュレーション / 43:外れ:ホットナンバー分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル,,,,,中心候補と実際の当選数字の重なりが少ない / 奇数偶数バランスが実際とずれた / 連番パターンを合わせきれなかった,残す候補: なし / 入れ替え候補: 02-05-08-28-38-43 / 近づける追加候補: 01-03-11-34-35-42,奇数偶数を奇数寄りに1枠調整する仮説を試す / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(なし)の周辺±2を候補群として観察し、合計126前後・奇数4個・低数字3個を次回比較軸にする,,,,,,,,,
2115-20260629-bayesian_estimation-3,2115,2026/06/29,ベイズ推定,01-06-08-27-36-43,01-03-11-34-35-42,23,1,16.7,なし,0.0,0.167,該当なし,2,5,1,0,06->03(-3) / 08->11(+3) / 27->34(+7) / 36->35(-1) / 43->42(-1),予想 3:3 / 実際 4:2,予想 低3:高3 / 実際 低3:高3,5,予想0組 / 実際1組,予想: 6が2個 / 実際: 1が2個,0,01 -> ホットナンバー分析由来,ホットナンバー分析 / 連番分析 / ベイズ推定,32以上+1 / 奇数+1 / 連番+1,大きな過剰条件なし,01:的中:ホットナンバー分析・連番分析・ベイズ推定 / 06:外れ:出現頻度分析・コールドナンバー分析・奇数偶数分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・機械学習モデル・ランダム予測モデル / 27:外れ:出現頻度分析・ホットナンバー分析・合計値分析・連番分析・ペア分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル / 36:外れ:ホットナンバー分析・奇数偶数分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・機械学習モデル / 43:外れ:ホットナンバー分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル,,,,,中心候補と実際の当選数字の重なりが少ない / 連番パターンを合わせきれなかった,残す候補: 01 / 入れ替え候補: 06-08-27-36-43 / 近づける追加候補: 03-11-34-35-42,奇数偶数を奇数寄りに1枠調整する仮説を試す / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(01)の周辺±2を候補群として観察し、合計126前後・奇数4個・低数字3個を次回比較軸にする,,,,,,,,,
2116-20260629-AI-1,2116,2026/07/02,AI改善反映予測,05-08-18-27-36-43,02-06-13-14-20-42,10,0,0.0,なし,0.0,0.0,該当なし,3,-40,-2,2,05->06(+1) / 08->06(-2) / 18->20(+2) / 27->20(-7) / 36->42(+6) / 43->42(-1),予想 3:3 / 実際 1:5,予想 低3:高3 / 実際 低5:高1,-40,予想0組 / 実際1組,予想: 8が2個 / 実際: 2が2個,0,一致数字なし。的中要因は次回検証対象として保留。,有効条件なし,連番+1 / 4・9・13候補+1,32以上-1 / 奇数-2 / 合計値-40,05:外れ:ホットナンバー分析・奇数偶数分析・連番分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・AI改善反映予測 / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・AI改善反映予測 / 18:外れ:ホットナンバー分析・合計値分析・連番分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル・AI改善反映予測 / 27:外れ:出現頻度分析・ホットナンバー分析・奇数偶数分析・合計値分析・連番分析・ペア分析・ボーナス数字分析・ベイズ推定・機械学習モデル・ランダム予測モデル・AI改善反映予測 / 36:外れ:ホットナンバー分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・AI改善反映予測 / 43:外れ:ホットナンバー分析・奇数偶数分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・AI改善反映予測,,,,,中心候補と実際の当選数字の重なりが少ない / 合計値のレンジが実際と離れた / 奇数偶数バランスが実際とずれた / 高低バランスが実際とずれた / 連番パターンを合わせきれなかった,残す候補: なし / 入れ替え候補: 05-08-18-27-36-43 / 近づける追加候補: 02-06-13-14-20-42,合計値の目標帯を40程度下げる検証する / 奇数偶数を偶数寄りに1枠調整する仮説を試す / 高低バランスを低数字寄りに寄せる / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(なし)の周辺±2を候補群として観察し、合計97前後・奇数1個・低数字5個を次回比較軸にする,,,,,,,,,
